Date,Monkey,ROI,AbsMeanBiasChange,MeanSignedBiasChange,MeanAbsBiasChange,CombinedSlopeChange,NValidBiasCues,TuningBehaviorPlot,RecordingLocationPlot,CombinedPlot
21-Jul-2021,Jim,MT,0.407701025964743,-0.407701025964743,0.407701025964743,-0.632863010418078,4,C:\EM\allSessions\002_Jim_MT_2021-07-21_stim04.png,C:\EM\RecordingLocationPlots\Jim\Jim_MT_2021-07-21_Hole_23-23.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\002_Jim_MT_2021-07-21_combined.png
30-May-2022,Jim,FST,0.144279466533787,0.144279466533787,0.144279466533787,-0.904764425800585,4,C:\EM\allSessions\013_Jim_FST_2022-05-30_stim05.png,C:\EM\RecordingLocationPlots\Jim\Jim_FST_2022-05-30_Hole_21-29.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\013_Jim_FST_2022-05-30_combined.png
12-Apr-2023,Jim,FST,0.0431332712463474,0.0431332712463474,0.0451087928084538,-0.501437834942719,4,C:\EM\allSessions\046_Jim_FST_2023-04-12_stim03.png,C:\EM\RecordingLocationPlots\Jim\Jim_FST_2023-04-12_Hole_21-25.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\046_Jim_FST_2023-04-12_combined.png
08-Sep-2023,Jim,FST,0.0093944993019113,0.0093944993019113,0.0441394700457983,-1.42568870325852,4,C:\EM\allSessions\058_Jim_FST_2023-09-08_stim06.png,C:\EM\RecordingLocationPlots\Jim\Jim_FST_2023-09-08_Hole_21-28.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\058_Jim_FST_2023-09-08_combined.png
25-Oct-2023,Jim,FST,0.0134222545568663,0.0134222545568663,0.0506906389549719,-1.52698629494819,4,C:\EM\allSessions\065_Jim_FST_2023-10-25_stim14.png,C:\EM\RecordingLocationPlots\Jim\Jim_FST_2023-10-25_Hole_22-28.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\065_Jim_FST_2023-10-25_combined.png
08-May-2024,Jim,FST,0.0355242960888417,0.0355242960888417,0.0506736358846924,-0.542670954336925,4,C:\EM\allSessions\102_Jim_FST_2024-05-08_stim08.png,C:\EM\RecordingLocationPlots\Jim\Jim_FST_2024-05-08_Hole_21-26.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\102_Jim_FST_2024-05-08_combined.png
18-Jun-2024,Jim,FST,0.114699215794002,0.114699215794002,0.114699215794002,-0.976234062348528,4,C:\EM\allSessions\109_Jim_FST_2024-06-18_stim06.png,C:\EM\RecordingLocationPlots\Jim\Jim_FST_2024-06-18_Hole_17-21.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\109_Jim_FST_2024-06-18_combined.png
06-Aug-2024,Clay,MT,0.0869570278457499,0.0869570278457499,0.106081341993092,-1.63662201436442,4,C:\EM\allSessions\155_Clay_MT_2024-08-06_stim02.png,C:\EM\RecordingLocationPlots\Clay\Clay_MT_2024-08-06_Hole_24-22.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\155_Clay_MT_2024-08-06_combined.png
08-Aug-2024,Clay,FST,0.00530342869665608,-0.00530342869665608,0.0860070090532616,-1.13164957745244,4,C:\EM\allSessions\156_Clay_FST_2024-08-08_stim14.png,C:\EM\RecordingLocationPlots\Clay\Clay_FST_2024-08-08_Hole_24-26.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\156_Clay_FST_2024-08-08_combined.png
20-Aug-2024,Clay,FST,0.171042310655686,0.171042310655686,0.171042310655686,-0.892900339582991,4,C:\EM\allSessions\159_Clay_FST_2024-08-20_stim04.png,C:\EM\RecordingLocationPlots\Clay\Clay_FST_2024-08-20_Hole_23-25.png,C:\Users\zzhu329\Documents\GitHub\EM-3DMotion\PopulationAnalysis\CombinedSessionPlots_CombinedSlope\159_Clay_FST_2024-08-20_combined.png
